Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
A7-ALU,4.740085601806641,46.932735443115234,38004.0 ft,2023-07-08 10:48:56.000,,,<0.05 nm,OK,OK,0.8405,16.0 ft/min,
OH-LTO,76.15653991699219,-1.0030174255371094,41000.0 ft,2023-07-08 10:49:30.000,13.5 kt,-45.0 C,<0.25 nm,OK,OK,0.818,0.0 ft/min,2023-07-08 10:51:39.000
F-HMIB,11.521568298339844,43.10760498046875,38000.0 ft,2023-07-08 10:49:49.000,,,<0.05 nm,OK,OK,0.852,-32.0 ft/min,
EC-NGT,44.04848098754883,-31.27035140991211,41004.0 ft,2023-07-08 10:49:27.000,74.5 kt,-63.25 C,<0.05 nm,OK,OK,0.85,0.0 ft/min,2023-07-08 10:55:45.000
F-HMIB,11.620445251464844,43.072242736816406,38008.0 ft,2023-07-08 10:50:32.000,,,<0.05 nm,OK,OK,0.8545,0.0 ft/min,
N785AV,33.78450393676758,-30.620098114013672,40996.0 ft,2023-07-08 10:50:38.875,7.5 kt,-62.25 C,<0.05 nm,OK,OK,0.842,-16.0 ft/min,2023-07-08 10:54:51.875
3B-NCE,5.477027893066406,47.65148162841797,38004.0 ft,2023-07-08 10:50:45.000,,,<0.05 nm,OK,OK,0.838,0.0 ft/min,
N14016,43.01542282104492,-17.5341796875,37992.0 ft,2023-07-08 10:52:23.000,75.0 kt,-53.0 C,<0.05 nm,OK,OK,0.8605,0.0 ft/min,2023-07-08 11:13:24.000
F-HKYS,4.186992645263672,45.222129821777344,36000.0 ft,2023-07-08 10:52:34.000,,,<0.25 nm,OK,OK,0.8225,-16.0 ft/min,
3B-NCE,5.799407958984375,47.39381790161133,38000.0 ft,2023-07-08 10:53:41.000,,,<0.05 nm,OK,OK,0.845,-16.0 ft/min,
F-HKYS,4.466114044189453,45.21097183227539,36000.0 ft,2023-07-08 10:54:35.000,,,<0.25 nm,OK,OK,0.823,16.0 ft/min,
3B-NCE,5.9209442138671875,47.297515869140625,38004.0 ft,2023-07-08 10:54:46.000,,,<0.05 nm,OK,OK,0.852,-16.0 ft/min,
A7-ALU,4.0436553955078125,46.51405334472656,38004.0 ft,2023-07-08 10:54:57.000,,,<0.05 nm,OK,OK,0.8405,-16.0 ft/min,
ET-AZN,9.473133087158203,42.91088104248047,39004.0 ft,2023-07-08 10:56:24.000,,,<0.05 nm,OK,OK,0.8505,0.0 ft/min,
A7-BCZ,9.421806335449219,43.965396881103516,39996.0 ft,2023-07-08 10:57:43.875,,,<0.05 nm,OK,OK,0.844,-16.0 ft/min,
A7-BCZ,9.417171478271484,43.95973205566406,40000.0 ft,2023-07-08 10:57:46.875,,,<0.05 nm,OK,OK,0.8445,0.0 ft/min,
F-HKYS,4.929943084716797,45.1728630065918,36000.0 ft,2023-07-08 10:57:56.000,,,<0.25 nm,OK,OK,0.8225,0.0 ft/min,
3B-NCE,6.368293762207031,46.94234848022461,37996.0 ft,2023-07-08 10:58:47.000,,,<0.05 nm,OK,OK,0.847,32.0 ft/min,
A7-ALU,3.5791397094726562,46.235103607177734,38004.0 ft,2023-07-08 10:58:57.000,,,<0.05 nm,OK,OK,0.8375,32.0 ft/min,
C-GUBT,41.3170051574707,-13.702354431152344,40000.0 ft,2023-07-08 10:59:25.000,,,<0.25 nm,OK,OK,0.8145,-32.0 ft/min,2023-07-08 11:09:45.000
F-HKYS,5.247173309326172,45.11260986328125,36000.0 ft,2023-07-08 11:00:17.000,,,<0.25 nm,OK,OK,0.825,0.0 ft/min,
A7-ALU,3.346881866455078,46.09588623046875,38000.0 ft,2023-07-08 11:00:57.000,,,<0.05 nm,OK,OK,0.847,0.0 ft/min,
ET-AZN,9.527549743652344,43.551177978515625,39008.0 ft,2023-07-08 11:01:39.000,,,<0.05 nm,OK,OK,0.849,16.0 ft/min,
A7-BHB,10.834407806396484,46.386680603027344,35996.0 ft,2023-07-08 11:01:47.250,,,<0.05 nm,OK,OK,0.841,-16.0 ft/min,
A7-ALU,3.1146240234375,45.95649719238281,38000.0 ft,2023-07-08 11:02:58.000,,,<0.05 nm,OK,OK,0.835,0.0 ft/min,
A7-BHB,10.687637329101562,46.12884521484375,36004.0 ft,2023-07-08 11:03:47.250,,,<0.05 nm,OK,OK,0.842,-16.0 ft/min,
ET-AZN,9.514331817626953,43.88969421386719,39000.0 ft,2023-07-08 11:04:25.000,,,<0.05 nm,OK,OK,0.8475,0.0 ft/min,
F-HKYS,5.814170837402344,44.97682571411133,36000.0 ft,2023-07-08 11:04:34.000,,,<0.25 nm,OK,OK,0.818,0.0 ft/min,
EC-NIG,40.157432556152344,-13.396625518798828,35004.0 ft,2023-07-08 11:04:57.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,2023-07-08 11:14:58.000
3B-NCE,7.249774932861328,46.173648834228516,37996.0 ft,2023-07-08 11:06:47.000,,,<0.05 nm,OK,OK,0.852,0.0 ft/min,
ET-AZN,9.656295776367188,44.35712814331055,39004.0 ft,2023-07-08 11:08:25.000,,,<0.05 nm,OK,OK,0.847,0.0 ft/min,
A7-ALU,2.4202537536621094,45.540733337402344,38000.0 ft,2023-07-08 11:08:58.000,,,<0.05 nm,OK,OK,0.8485,0.0 ft/min,
ET-AZN,9.783496856689453,44.57822799682617,39000.0 ft,2023-07-08 11:10:25.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,
3B-NCE,7.688026428222656,45.77024459838867,38000.0 ft,2023-07-08 11:10:48.000,,,<0.05 nm,OK,OK,0.8495,0.0 ft/min,
EC-NDR,28.865203857421875,-33.304195404052734,38004.0 ft,2023-07-08 11:12:17.000,13.5 kt,-53.75 C,<0.05 nm,OK,OK,0.8525,0.0 ft/min,2023-07-08 11:38:09.000
ET-AZN,9.91018295288086,44.79881286621094,39008.0 ft,2023-07-08 11:12:25.000,,,<0.05 nm,OK,OK,0.8485,0.0 ft/min,
N24980,63.97544860839844,-9.837570190429688,38996.0 ft,2023-07-08 11:12:43.500,24.0 kt,-58.25 C,<0.05 nm,OK,OK,0.85,0.0 ft/min,2023-07-08 11:47:51.500
A7-BHB,9.954643249511719,44.84275817871094,35996.0 ft,2023-07-08 11:13:47.250,,,<0.05 nm,OK,OK,0.8465,16.0 ft/min,
F-HKYS,7.137508392333984,44.65993881225586,36000.0 ft,2023-07-08 11:14:34.000,,,<0.25 nm,OK,OK,0.8195,0.0 ft/min,
CS-TOP,40.279483795166016,-16.36138916015625,41004.0 ft,2023-07-08 11:14:43.000,53.5 kt,-62.5 C,<0.25 nm,OK,OK,0.815,32.0 ft/min,2023-07-08 11:22:30.000
ET-ARI,11.011734008789062,58.2989501953125,34000.0 ft,2023-07-08 11:16:48.250,,,<0.25 nm,OK,OK,0.823,0.0 ft/min,
A7-BHB,9.660587310791016,44.33137893676758,35996.0 ft,2023-07-08 11:17:47.250,,,<0.05 nm,OK,OK,0.845,0.0 ft/min,
3B-NCE,8.562812805175781,44.9644660949707,38004.0 ft,2023-07-08 11:18:49.000,,,<0.05 nm,OK,OK,0.8495,-16.0 ft/min,
ET-ARI,10.899295806884766,57.723541259765625,34000.0 ft,2023-07-08 11:20:48.250,,,<0.25 nm,OK,OK,0.8245,-16.0 ft/min,
A7-ALU,1.0663604736328125,44.65925216674805,38000.0 ft,2023-07-08 11:20:59.000,,,<0.05 nm,OK,OK,0.8405,0.0 ft/min,
EC-NSC,45.530433654785156,-28.1414794921875,37000.0 ft,2023-07-08 11:21:35.000,,,<0.05 nm,OK,OK,0.8505,0.0 ft/min,2023-07-08 12:01:38.000
PT-MUA,23.33444595336914,-18.716583251953125,35000.0 ft,2023-07-08 11:21:26.500,,,<0.25 nm,OK,OK,0.83,-16.0 ft/min,2023-07-08 11:35:03.500
A7-BHB,9.148178100585938,43.62447738647461,35996.0 ft,2023-07-08 11:23:47.250,,,<0.05 nm,OK,OK,0.84,16.0 ft/min,
A7-BHB,9.143543243408203,43.618812561035156,35996.0 ft,2023-07-08 11:23:50.250,,,<0.05 nm,OK,OK,0.84,16.0 ft/min,
ET-ARI,10.785484313964844,57.14607238769531,34000.0 ft,2023-07-08 11:24:48.375,,,<0.25 nm,OK,OK,0.825,0.0 ft/min,
A7-ALU,0.6104278564453125,44.352149963378906,38004.0 ft,2023-07-08 11:24:59.000,,,<0.05 nm,OK,OK,0.8495,-16.0 ft/min,
ET-ARI,10.730209350585938,56.85699462890625,34000.0 ft,2023-07-08 11:26:48.375,,,<0.25 nm,OK,OK,0.8245,0.0 ft/min,
3B-NCE,9.45047378540039,44.17705535888672,38000.0 ft,2023-07-08 11:26:49.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,
3B-NCE,9.700756072998047,44.02565002441406,38004.0 ft,2023-07-08 11:28:49.000,,,<0.05 nm,OK,OK,0.8525,0.0 ft/min,
3B-NCE,9.70315933227539,44.024620056152344,38004.0 ft,2023-07-08 11:28:50.000,,,<0.05 nm,OK,OK,0.852,0.0 ft/min,
A7-ALU,0.15398025512695312,44.044189453125,38004.0 ft,2023-07-08 11:29:00.000,,,<0.05 nm,OK,OK,0.8485,16.0 ft/min,
N474TC,61.51571273803711,-0.17732620239257812,40004.0 ft,2023-07-08 11:29:02.125,18.5 kt,-58.0 C,<0.05 nm,OK,not available to ADS,0.846,16.0 ft/min,2023-07-08 12:04:38.125
ET-AZN,11.046066284179688,46.787166595458984,39012.0 ft,2023-07-08 11:30:27.000,,,<0.05 nm,OK,OK,0.85,0.0 ft/min,
ET-ARI,10.61777114868164,56.276607513427734,34000.0 ft,2023-07-08 11:30:48.375,,,<0.25 nm,OK,not available to ADS,0.8255,0.0 ft/min,
3B-NCE,9.96133804321289,43.90068054199219,38004.0 ft,2023-07-08 11:30:49.000,,,<0.05 nm,OK,OK,0.8475,0.0 ft/min,
ET-AZN,11.172409057617188,47.00672149658203,39000.0 ft,2023-07-08 11:32:27.000,,,<0.05 nm,OK,OK,0.848,0.0 ft/min,
ET-ARI,10.56112289428711,55.98564147949219,34000.0 ft,2023-07-08 11:32:48.375,,,<0.25 nm,OK,OK,0.824,16.0 ft/min,
F-HKYS,9.679813385009766,44.035606384277344,36000.0 ft,2023-07-08 11:33:35.000,,,<0.25 nm,OK,OK,0.821,0.0 ft/min,
EC-NIG,40.0587272644043,-18.138771057128906,36000.0 ft,2023-07-08 11:34:21.000,54.5 kt,-55.5 C,<0.05 nm,OK,OK,0.8505,-16.0 ft/min,2023-07-08 11:46:05.000
F-GSQO,-0.27500152587890625,46.29741668701172,32000.0 ft,2023-07-08 11:34:34.375,,,<0.25 nm,OK,OK,0.8415,0.0 ft/min,
ET-ARI,10.503959655761719,55.694332122802734,34000.0 ft,2023-07-08 11:34:48.625,,,<0.25 nm,OK,OK,0.8255,0.0 ft/min,
3B-NCE,10.727119445800781,43.52834701538086,38004.0 ft,2023-07-08 11:36:41.000,,,<0.05 nm,OK,OK,0.8515,0.0 ft/min,
3B-NCE,10.746345520019531,43.51856231689453,38000.0 ft,2023-07-08 11:36:50.000,,,<0.05 nm,OK,OK,0.8525,0.0 ft/min,
TC-LJR,67.07616806030273,-25.875720977783203,33000.0 ft,2023-07-08 11:36:57.875,51.0 kt,-46.0 C,<0.25 nm,OK,OK,0.8295,-16.0 ft/min,2023-07-08 11:53:18.875
A7-ALU,-0.7468986511230469,43.4344482421875,38004.0 ft,2023-07-08 11:37:01.000,,,<0.05 nm,OK,OK,0.85,0.0 ft/min,
EC-NSC,44.600887298583984,-24.842147827148438,40664.0 ft,2023-07-08 11:37:20.000,58.5 kt,-51.75 C,<0.05 nm,OK,OK,0.8475,400.0 ft/min,2023-07-08 12:02:02.000
3B-NCE,11.00229263305664,43.3875846862793,38000.0 ft,2023-07-08 11:38:50.000,,,<0.05 nm,OK,OK,0.8415,0.0 ft/min,
ET-ARI,10.330066680908203,54.81697082519531,34000.0 ft,2023-07-08 11:40:48.625,,,<0.25 nm,OK,OK,0.825,0.0 ft/min,
3B-NCE,11.432304382324219,43.167686462402344,38000.0 ft,2023-07-08 11:42:08.000,,,<0.05 nm,OK,OK,0.8485,0.0 ft/min,
D-ALFH,77.35422134399414,-7.356376647949219,33000.0 ft,2023-07-08 11:42:22.375,14.0 kt,-47.75 C,<0.25 nm,OK,OK,0.8115,0.0 ft/min,2023-07-08 12:17:49.375
ET-AZN,11.806011199951172,48.11565399169922,39004.0 ft,2023-07-08 11:42:27.000,,,<0.05 nm,OK,OK,0.851,0.0 ft/min,
F-HKYS,10.821533203125,43.48062515258789,35996.0 ft,2023-07-08 11:42:35.000,,,<0.25 nm,OK,OK,0.819,0.0 ft/min,
ET-ARI,10.271358489990234,54.52291488647461,34000.0 ft,2023-07-08 11:42:48.625,,,<0.25 nm,OK,OK,0.826,0.0 ft/min,
3B-NCE,11.525344848632812,43.1239128112793,38000.0 ft,2023-07-08 11:42:50.000,,,<0.05 nm,OK,OK,0.85,-16.0 ft/min,
N474TC,61.790714263916016,-4.019794464111328,43004.0 ft,2023-07-08 11:42:54.125,5.5 kt,-53.0 C,<0.05 nm,OK,not available to ADS,0.853,-16.0 ft/min,2023-07-08 12:03:39.125
EC-NIG,40.04018783569336,-19.662609100341797,36004.0 ft,2023-07-08 11:43:56.000,52.0 kt,-55.5 C,<0.05 nm,OK,OK,0.85,0.0 ft/min,2023-07-08 11:46:10.000
D-ALFH,77.13260650634766,-6.851005554199219,33000.0 ft,2023-07-08 11:44:13.375,,,<0.25 nm,OK,OK,0.8105,0.0 ft/min,2023-07-08 12:17:59.375
G-XWBK,61.0865592956543,-30.62713623046875,39000.0 ft,2023-07-08 11:44:49.000,58.5 kt,-50.75 C,<0.05 nm,OK,OK,0.8465,0.0 ft/min,2023-07-08 11:47:13.000
OH-LWG,68.92410278320312,-19.392070770263672,40996.0 ft,2023-07-08 11:45:36.000,12.0 kt,-46.25 C,<0.05 nm,OK,OK,0.8485,0.0 ft/min,2023-07-08 12:11:01.000
A7-ANS,65.7476806640625,-9.118995666503906,37000.0 ft,2023-07-08 11:46:29.000,47.5 kt,-58.0 C,<0.05 nm,OK,OK,0.8485,0.0 ft/min,2023-07-08 12:20:57.000
ET-ARI,10.152740478515625,53.9348030090332,34000.0 ft,2023-07-08 11:46:48.875,,,<0.25 nm,OK,not available to ADS,0.827,-16.0 ft/min,
A7-ALU,-1.8731689453125,42.671756744384766,38000.0 ft,2023-07-08 11:47:02.000,,,<0.05 nm,OK,OK,0.8485,0.0 ft/min,
F-GSQO,1.610870361328125,45.481510162353516,32000.0 ft,2023-07-08 11:48:34.625,,,<0.25 nm,OK,OK,0.84,0.0 ft/min,
EC-NBO,42.0966911315918,-15.498104095458984,40000.0 ft,2023-07-08 11:48:47.000,63.5 kt,-53.75 C,<0.05 nm,OK,OK,0.847,-32.0 ft/min,2023-07-08 11:51:30.000
TC-LJD,65.76433181762695,-13.280410766601562,37000.0 ft,2023-07-08 11:58:47.125,44.5 kt,-54.5 C,<0.25 nm,OK,OK,0.8455,16.0 ft/min,2023-07-08 12:10:08.125
OH-LWG,68.46508026123047,-14.163093566894531,40996.0 ft,2023-07-08 11:59:29.000,14.0 kt,-46.5 C,<0.05 nm,OK,OK,0.8455,0.0 ft/min,2023-07-08 12:11:05.000
A4O-DI,0.292510986328125,44.13774490356445,37000.0 ft,2023-07-08 12:00:18.000,,,<0.25 nm,OK,OK,0.8085,0.0 ft/min,
ET-ARI,9.73388671875,51.90010070800781,34000.0 ft,2023-07-08 12:00:49.000,,,<0.25 nm,OK,OK,0.827,0.0 ft/min,
N154QS,57.61728286743164,-52.34642028808594,39988.0 ft,2023-07-08 12:02:07.625,5.5 kt,-54.0 C,<0.05 nm,OK,not available to ADS,0.8475,-160.0 ft/min,2023-07-08 12:21:44.625
A4O-DI,0.73333740234375,44.43471908569336,37000.0 ft,2023-07-08 12:04:18.000,,,<0.25 nm,OK,OK,0.806,-16.0 ft/min,
F-GSQO,3.8900184631347656,45.23414611816406,32000.0 ft,2023-07-08 12:04:35.000,,,<0.25 nm,OK,OK,0.8425,16.0 ft/min,
N791AV,38.09183120727539,-19.66501235961914,39000.0 ft,2023-07-08 12:05:14.375,34.0 kt,-59.75 C,<0.05 nm,OK,OK,0.8425,0.0 ft/min,2023-07-08 12:07:27.375
EC-NGT,42.64720916748047,-15.41656494140625,41000.0 ft,2023-07-08 12:06:18.000,63.5 kt,-51.25 C,<0.05 nm,OK,OK,0.8525,16.0 ft/min,2023-07-08 12:13:12.000
ET-ARI,9.4921875,50.754432678222656,34000.0 ft,2023-07-08 12:08:49.250,,,<0.25 nm,OK,OK,0.8245,0.0 ft/min,
D-ALFH,74.03617858886719,-1.3657379150390625,33000.0 ft,2023-07-08 12:10:06.750,25.0 kt,-47.5 C,<0.25 nm,OK,OK,0.807,0.0 ft/min,2023-07-08 12:18:41.750
OH-LWG,67.90580749511719,-9.12637710571289,41000.0 ft,2023-07-08 12:13:22.000,11.5 kt,-45.5 C,<0.05 nm,OK,OK,0.8455,-16.0 ft/min,2023-07-08 12:39:06.000
F-GSQO,5.307254791259766,45.09819030761719,32000.0 ft,2023-07-08 12:14:35.000,,,<0.25 nm,OK,OK,0.8395,0.0 ft/min,
A4O-DI,2.2777748107910156,45.455074310302734,37000.0 ft,2023-07-08 12:18:18.000,,,<0.25 nm,OK,OK,0.8095,0.0 ft/min,
F-GSQO,5.862064361572266,44.96498107910156,32000.0 ft,2023-07-08 12:18:35.250,,,<0.25 nm,OK,OK,0.841,0.0 ft/min,
D-AIKB,67.11170196533203,-20.841064453125,39000.0 ft,2023-07-08 12:19:08.000,4.0 kt,-51.25 C,<0.25 nm,OK,OK,0.82,0.0 ft/min,2023-07-08 12:21:44.000
A4O-DI,2.7335357666015625,45.728187561035156,37000.0 ft,2023-07-08 12:22:18.000,,,<0.25 nm,OK,OK,0.813,16.0 ft/min,
D-ALFH,72.36093521118164,0.4317283630371094,33000.0 ft,2023-07-08 12:23:59.000,22.0 kt,-52.0 C,<0.25 nm,OK,OK,0.8085,0.0 ft/min,2023-07-08 13:31:59.000
A4O-DI,2.9585838317871094,45.862770080566406,36996.0 ft,2023-07-08 12:24:18.000,,,<0.25 nm,OK,OK,0.807,-32.0 ft/min,
N474TC,62.08442687988281,-16.303024291992188,43000.0 ft,2023-07-08 12:24:30.000,16.5 kt,-50.0 C,<0.05 nm,OK,not available to ADS,0.8485,-64.0 ft/min,2023-07-08 12:36:38.000
ET-ARI,9.240875244140625,48.42344284057617,34000.0 ft,2023-07-08 12:24:49.375,,,<0.25 nm,OK,OK,0.823,0.0 ft/min,
ET-AWO,8.700141906738281,24.700355529785156,38004.0 ft,2023-07-08 12:25:21.000,44.0 kt,-50.5 C,<0.05 nm,OK,OK,0.8505,0.0 ft/min,2023-07-08 12:33:22.000
TC-LLC,65.22359848022461,-11.844291687011719,36996.0 ft,2023-07-08 12:25:31.125,40.0 kt,-57.5 C,<0.05 nm,OK,OK,0.8415,0.0 ft/min,2023-07-08 12:31:17.125
ET-ARI,9.236068725585938,48.126468658447266,34000.0 ft,2023-07-08 12:26:49.375,,,<0.25 nm,OK,OK,0.8245,0.0 ft/min,
OH-LWG,67.4618911743164,-4.111976623535156,41000.0 ft,2023-07-08 12:27:14.000,14.5 kt,-47.25 C,<0.05 nm,OK,OK,0.85,0.0 ft/min,2023-07-08 12:39:08.000
A4O-DI,3.4054183959960938,46.13090515136719,37000.0 ft,2023-07-08 12:28:18.000,,,<0.25 nm,OK,OK,0.791,-16.0 ft/min,
ET-ARI,9.231090545654297,47.8289794921875,34000.0 ft,2023-07-08 12:28:49.375,,,<0.25 nm,OK,OK,0.825,0.0 ft/min,
F-GSQO,7.534904479980469,44.565181732177734,32000.0 ft,2023-07-08 12:30:35.375,,,<0.25 nm,OK,OK,0.841,0.0 ft/min,
EC-NVR,38.31876754760742,-20.608978271484375,40000.0 ft,2023-07-08 12:30:44.000,44.5 kt,-61.25 C,<0.05 nm,OK,OK,0.854,-16.0 ft/min,2023-07-08 12:34:26.000
A4O-DI,3.8471031188964844,46.39577865600586,36996.0 ft,2023-07-08 12:32:18.000,,,<0.25 nm,OK,OK,0.787,0.0 ft/min,
TC-LJR,64.56304550170898,-8.589248657226562,35000.0 ft,2023-07-08 12:32:26.875,26.5 kt,-52.25 C,<0.25 nm,OK,OK,0.8285,0.0 ft/min,2023-07-08 13:10:12.875
N750AN,45.61918258666992,-13.097248077392578,34004.0 ft,2023-07-08 12:37:09.250,56.5 kt,-43.5 C,<0.25 nm,OK,OK,0.84,0.0 ft/min,2023-07-08 13:20:59.250
D-ALFH,70.63899993896484,1.4555168151855469,33000.0 ft,2023-07-08 12:37:51.250,13.5 kt,-53.75 C,<0.25 nm,OK,OK,0.8035,0.0 ft/min,2023-07-08 13:33:05.250
A4O-DI,4.7371673583984375,46.9310188293457,36996.0 ft,2023-07-08 12:40:18.000,,,<0.25 nm,OK,OK,0.799,16.0 ft/min,
ET-ARI,9.359149932861328,46.053829193115234,34000.0 ft,2023-07-08 12:40:49.875,,,<0.25 nm,OK,OK,0.8245,0.0 ft/min,
OH-LWG,66.8514633178711,0.6734275817871094,41008.0 ft,2023-07-08 12:41:05.000,12.0 kt,-47.0 C,<0.05 nm,OK,OK,0.848,0.0 ft/min,2023-07-08 13:00:57.000
ET-ARI,9.389362335205078,45.75960159301758,34000.0 ft,2023-07-08 12:42:49.875,,,<0.25 nm,OK,OK,0.8235,0.0 ft/min,
F-GSPN,46.86870574951172,-17.988052368164062,33996.0 ft,2023-07-08 12:44:15.750,29.5 kt,-41.25 C,<0.25 nm,OK,OK,0.8345,32.0 ft/min,2023-07-08 12:56:46.750
A4O-DI,5.1821136474609375,47.199153900146484,36988.0 ft,2023-07-08 12:44:18.000,,,<0.25 nm,OK,OK,0.804,32.0 ft/min,
CS-TUS,38.17869186401367,-10.973796844482422,24992.0 ft,2023-07-08 12:50:21.000,29.5 kt,-26.0 C,<0.25 nm,OK,OK,0.706,752.0 ft/min,2023-07-08 13:18:50.000
ET-ARI,9.508495330810547,44.57633972167969,34000.0 ft,2023-07-08 12:50:49.875,,,<0.25 nm,OK,OK,0.8235,16.0 ft/min,
D-AIGM,64.01287078857422,-14.460411071777344,37000.0 ft,2023-07-08 12:51:26.000,35.5 kt,-56.5 C,<0.25 nm,OK,OK,0.827,0.0 ft/min,2023-07-08 13:08:33.000
ET-ARI,9.563426971435547,43.918704986572266,34000.0 ft,2023-07-08 12:55:17.000,,,<0.25 nm,OK,OK,0.8245,0.0 ft/min,
CS-TUA,38.798561096191406,-10.626697540283203,19800.0 ft,2023-07-08 12:56:25.000,28.0 kt,-13.0 C,<0.25 nm,OK,OK,0.644,1072.0 ft/min,2023-07-08 13:25:27.000
A4O-DI,6.730499267578125,48.1446647644043,37004.0 ft,2023-07-08 12:58:18.000,,,<0.25 nm,OK,OK,0.7915,16.0 ft/min,
D-AIKP,59.494056701660156,-1.7876815795898438,34000.0 ft,2023-07-08 12:59:30.000,5.5 kt,-51.25 C,<0.25 nm,OK,OK,0.804,0.0 ft/min,2023-07-08 13:13:40.000
EC-NVR,39.80552673339844,-15.704612731933594,40008.0 ft,2023-07-08 12:59:33.000,46.5 kt,-62.25 C,<0.05 nm,OK,OK,0.8505,-32.0 ft/min,2023-07-08 13:03:36.000
N780AV,34.37244415283203,-35.91499328613281,40000.0 ft,2023-07-08 13:01:09.375,,,<0.05 nm,OK,OK,0.842,0.0 ft/min,2023-07-08 13:29:28.375
VH-ZND,-36.06691360473633,57.06504821777344,37996.0 ft,2023-07-08 13:01:34.375,,,<0.05 nm,OK,OK,0.8485,-16.0 ft/min,2023-07-08 13:02:05.375
JA867J,73.13529968261719,-16.050682067871094,38996.0 ft,2023-07-08 13:02:10.125,12.5 kt,-44.5 C,<0.05 nm,OK,OK,0.819,0.0 ft/min,2023-07-08 13:36:16.125
PPFJA,44.49256896972656,-18.675384521484375,31004.0 ft,2023-07-08 13:02:45.000,64.0 kt,-44.5 C,<0.05 nm,OK,not available to ADS,0.7835,0.0 ft/min,2023-07-08 13:12:22.000
TC-JJR,65.599365234375,-12.529563903808594,33000.0 ft,2023-07-08 13:03:17.875,44.5 kt,-47.5 C,<0.25 nm,OK,OK,0.828,-16.0 ft/min,2023-07-08 13:11:56.875
D-AIGM,63.19816589355469,-10.803852081298828,37000.0 ft,2023-07-08 13:05:19.000,15.0 kt,-57.25 C,<0.25 nm,OK,OK,0.8245,0.0 ft/min,2023-07-08 13:08:36.000
TC-LLU,67.34464645385742,-32.79573440551758,37000.0 ft,2023-07-08 13:16:11.500,47.5 kt,-54.0 C,<0.05 nm,OK,OK,0.8465,-16.0 ft/min,2023-07-08 14:09:06.500
A4O-DI,8.638858795166016,49.3095588684082,37000.0 ft,2023-07-08 13:16:18.000,,,<0.25 nm,OK,OK,0.7975,0.0 ft/min,
TC-JJR,64.68286514282227,-8.444709777832031,33000.0 ft,2023-07-08 13:17:10.000,26.5 kt,-47.5 C,<0.25 nm,OK,OK,0.824,0.0 ft/min,2023-07-08 13:48:20.000
A4O-DI,8.755073547363281,49.380455017089844,37000.0 ft,2023-07-08 13:17:23.000,,,<0.25 nm,OK,OK,0.7995,0.0 ft/min,
A4O-DI,8.853778839111328,49.440879821777344,37000.0 ft,2023-07-08 13:18:18.000,,,<0.25 nm,OK,OK,0.8025,-16.0 ft/min,
CS-TUO,36.14828109741211,-14.974708557128906,36000.0 ft,2023-07-08 13:18:20.000,,,<0.25 nm,OK,OK,0.8195,0.0 ft/min,2023-07-08 13:28:19.000
N750AN,48.85414123535156,-19.663124084472656,34000.0 ft,2023-07-08 13:18:46.000,30.0 kt,-44.0 C,<0.25 nm,OK,OK,0.8435,16.0 ft/min,2023-07-08 13:20:50.000
N780AV,33.467445373535156,-38.709983825683594,40000.0 ft,2023-07-08 13:20:21.375,,,<0.05 nm,OK,OK,0.8435,0.0 ft/min,2023-07-08 13:29:18.375
N785KJ,38.241519927978516,-13.057937622070312,40000.0 ft,2023-07-08 13:20:26.875,55.0 kt,-61.0 C,<0.05 nm,OK,not available to ADS,0.8455,-64.0 ft/min,2023-07-08 13:33:23.875
